	batch_digits	Batch
17402567-B	8	8th_201804
249136-B	7	7th_201803
385247-B	4	4th_201801
497411-B	3	2nd_201712
498221-B	3	1st_201711
507450-B	4	3nd_201801
507511-B	4	3nd_201801
507867-B	4	3nd_201801
507887-B	4	3nd_201801
508877-B	7	7th_201803
508897-B	7	7th_201803
515058-B	7	7th_201803
6474170-B	8	8th_201804
8397116-B	8	8th_201804
SH327409-B	7	7th_201803
SH327428-B	7	7th_201803
3497470-B	8	8th_201804
497497-B	3	1st_201711
498127-B	3	2nd_201712
498187-B	3	2nd_201712
507468-B	4	3nd_201801
507599-B	4	3nd_201801
507909-B	4	3nd_201801
511485-B	7	6th_201803
515292-B	7	7th_201803
SH327412-B	7	7th_201803
423976-B	4	3nd_201801
511030-B	7	7th_201803
5474594-B	8	8th_201804
SH325716-B	7	7th_201803
CXD	7	6th_201803
LY	7	6th_201803
Normal-1	8	8th_201804
Normal-2	8	8th_201804
Normal-3	8	8th_201804
Normal-4	8	8th_201804
Normal-5	8	8th_201804
Normal-6	8	8th_201804
Normal-7	8	8th_201804
Normal-8	8	8th_201804
mix1_combined_R1	1	9th_201804
mix2_combined_R1	1	9th_201804
mix3_combined_R1	1	9th_201804
