	log2FoldChange	padj	threshold	-log10(q values)	color	metrics	log2RPKM
RNU5E-4P|snRNA	5.2022148134862	8.15082055792106e-18	True	17.08879866784423	#DA706F	88.89960157454249	0.8965772271706498
RNU5D-1|snRNA	4.68160190604428	3.70470152351831e-15	True	14.431246776054598	#DA706F	67.56135241337257	0.4403134812871958
RNU5A-1|snRNA	4.6309458390336	3.33682880194802e-30	True	29.47666607451888	#DA706F	136.50484410637608	7.661465998448854
RNU5B-1|snRNA	4.2904271979075	1.5505463966730997e-29	True	28.809515233929954	#DA706F	123.60512771818354	7.72294174051042
RNU4-1|snRNA	4.00431651705153	1.5505463966730997e-29	True	28.809515233929954	#DA706F	115.36241769947338	7.648708739546543
RNU1-39P|snRNA	3.93812527898259	6.61385485180472e-16	True	15.179545340379676	#DA706F	59.77895122841158	4.6102895985511525
RNU4-2|snRNA	3.6285806483407597	5.87176920460824e-32	True	31.231231023108155	#DA706F	113.32504051430983	9.656517693446778
SNORD3C|snoRNA	3.39593126275368	2.29372277577692e-18	True	17.639459073019648	#DA706F	59.90239052413148	7.702491431420185
AL360012.1|lncRNA	2.56649682995053	6.15340169641952e-27	True	26.210884733076437	#DA706F	67.27015257763942	10.635210540718779
RNU11|snRNA	2.56649682995053	6.15340169641952e-27	True	26.210884733076437	#DA706F	67.27015257763942	10.602544672388763
