	log2FoldChange	padj	threshold	-log10(q values)	color	metrics	log2RPKM
ALB|mRNA	3.05752082904273	1.0437709562253099e-14	True	13.981394791909157	#DA706F	42.74840579533179	6.745081640449699
RNU5A-1|snRNA	2.62253465195288	3.43997001173675e-12	True	11.463445343415103	#DA706F	30.06328264387399	7.661465998448854
RNU5B-1|snRNA	2.4639906134227996	2.6836734742262998e-12	True	11.571270326419723	#DA706F	28.511501469675974	7.72294174051042
RNU4-1|snRNA	2.19132600334109	6.5108414127391e-10	True	9.186362882814844	#DA706F	20.130315861239588	7.648708739546543
RNU4-2|snRNA	2.13247900129446	6.08258919297663e-14	True	13.215911514006915	#DA706F	28.182653786585423	9.656517693446778
RN7SL144P|srpRNA	2.0398054912875603	1.24320212635573e-14	True	13.905458255731247	#DA706F	28.364430108910536	6.217543894866515
RN7SL546P|srpRNA	1.9430023504117502	5.788171889510179e-11	True	10.237458580255606	#DA706F	19.89140608367958	5.807669237512925
AL360012.1|lncRNA	1.79016001786116	3.57655437544421e-18	True	17.446535167858233	#DA706F	31.23208970770845	10.635210540718779
RNU11|snRNA	1.79016001786116	3.57655437544421e-18	True	17.446535167858233	#DA706F	31.23208970770845	10.602544672388763
RN7SL128P|srpRNA	1.68715794456635	1.8972213664573899e-13	True	12.721881992979533	#DA706F	21.46382427429101	8.048156981441412
