sample_id	map_step	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
SRR5679904	rRNA	Dec 14 13:56:08	Dec 14 13:56:09	Dec 15 01:56:33	2.53	30376361	261	4264	0.01%	224.38	3722	0	1580	270	0	1872	1.31%	0.11%	1.78	0.05%	1.61	7012004	23.08%	126167	0.42%	0.00%	7.97%	68.51%	0	0.00%
SRR5679904	genome	Dec 17 11:36:52	Dec 17 11:37:36	Dec 17 12:15:02	37.44	23360172	267	15104026	64.66%	274.55	13148003	12843146	12902511	90515	9887	145090	0.41%	0.01%	1.52	0.01%	1.30	2535010	10.85%	164219	0.70%	0.00%	23.41%	0.38%	0	0.00%
SRR5679904	circRNA	Dec 19 04:20:43	Dec 19 04:20:45	Dec 19 06:47:44	2.34	5721479	238	83428	1.46%	263.50	6417	0	931	78	129	5279	0.43%	0.02%	1.88	0.02%	1.29	22733	0.40%	890	0.02%	0.00%	98.12%	0.01%	0	0.00%
SRR5679905	rRNA	Dec 14 13:56:11	Dec 14 13:56:11	Dec 15 03:06:25	2.10	27600415	261	2846	0.01%	190.29	2305	0	1170	64	0	1071	1.35%	0.09%	2.46	0.05%	3.59	5903820	21.39%	94984	0.34%	0.00%	10.03%	68.22%	0	0.00%
SRR5679905	genome	Dec 16 02:18:14	Dec 16 02:19:48	Dec 16 04:01:04	12.85	21693799	262	11338309	52.27%	277.37	10400147	10189812	10233226	67166	7304	92451	0.45%	0.01%	1.49	0.01%	1.31	1819078	8.39%	238144	1.10%	0.00%	37.46%	0.79%	0	0.00%
SRR5679905	circRNA	Dec 19 07:33:39	Dec 19 07:33:40	Dec 19 11:02:54	2.45	8536808	238	77347	0.91%	264.61	5888	0	1169	132	81	4506	0.48%	0.03%	3.74	0.02%	1.68	21399	0.25%	450	0.01%	0.00%	98.83%	0.01%	0	0.00%
SRR5679906	rRNA	Dec 14 02:39:17	Dec 14 02:39:17	Dec 14 11:56:02	2.55	23643594	267	1984	0.01%	181.88	1120	0	468	76	0	576	1.19%	0.04%	1.42	0.05%	1.89	3318254	14.03%	59144	0.25%	0.00%	4.93%	80.78%	0	0.00%
SRR5679906	genome	Dec 17 13:02:39	Dec 17 13:03:26	Dec 17 14:21:32	15.61	20323398	272	11353993	55.87%	273.22	9344992	9106795	9151368	62382	7614	123628	0.46%	0.01%	1.51	0.01%	1.28	2726155	13.41%	416304	2.05%	0.00%	27.09%	1.58%	0	0.00%
SRR5679906	circRNA	Dec 19 06:54:12	Dec 19 06:54:14	Dec 19 13:00:51	1.02	6243627	270	65720	1.05%	259.86	4896	0	1078	431	32	3355	0.49%	0.02%	2.30	0.02%	1.80	16185	0.26%	602	0.01%	0.00%	98.67%	0.01%	0	0.00%
SRR5679907	rRNA	Dec 14 13:56:09	Dec 14 13:56:09	Dec 14 23:52:26	2.79	27768610	266	3049	0.01%	169.85	1966	0	1045	84	0	837	1.53%	0.05%	1.89	0.05%	1.82	3934829	14.17%	71981	0.26%	0.00%	7.16%	78.40%	0	0.00%
SRR5679907	genome	Dec 17 11:53:28	Dec 17 11:54:09	Dec 17 12:57:54	22.43	23830771	269	12650537	53.08%	276.78	10905557	10640740	10706483	70585	8770	119719	0.39%	0.01%	1.45	0.01%	1.31	2414627	10.13%	303155	1.27%	0.00%	34.53%	0.98%	0	0.00%
SRR5679907	circRNA	Dec 19 06:01:11	Dec 19 06:01:13	Dec 19 10:33:47	1.93	8765970	255	80208	0.91%	266.71	6626	0	954	115	8	5549	0.42%	0.01%	1.38	0.02%	1.83	15776	0.18%	628	0.01%	0.00%	98.89%	0.01%	0	0.00%
SRR5679908	rRNA	Dec 13 22:53:50	Dec 13 22:53:50	Dec 14 10:51:33	2.38	28424120	270	2663	0.01%	191.92	2007	0	890	74	2	1041	1.25%	0.10%	1.77	0.03%	1.61	6282602	22.10%	103022	0.36%	0.00%	4.82%	72.71%	0	0.00%
