rna_type	SRR5679904	SRR5679905	SRR5679906	SRR5679907	SRR5679908	SRR5679909	SRR5687235	SRR5687236	SRR5687237	SRR5687238	SRR5687239	SRR5687240	SRR5687241	SRR5687242	SRR5687243	SRR5687244	SRR5687245	SRR5687246	SRR5712482	SRR5712483	SRR5712484	SRR5712485	SRR5712486	SRR5712487	SRR5712488	SRR5712489	SRR5712490	SRR5712491	SRR5712492	SRR5712493	SRR5712494	SRR5712495	SRR5712496	SRR5712497	SRR5712498	SRR5712499	SRR5712500	SRR5712501	SRR5712502	SRR5712503	SRR5712504	SRR5712505	SRR5712506	SRR5712507	SRR5712508	SRR5712509	SRR5712510	SRR5712511	SRR5712512	SRR5712513	SRR5712516	SRR5712517	SRR5712518	SRR5712519	SRR5712520	SRR5712521	SRR5712522	SRR5712523	SRR5712524	SRR5712525	SRR5712526	SRR5712527	SRR5712528	SRR5712529	SRR5712530	SRR5712531	SRR5712532	SRR5712533	SRR5712534	SRR5712535	SRR5712536	SRR5714908	SRR5714909	SRR5714910	SRR5714911	SRR5714912	SRR5714913	SRR5714914	SRR5714915	SRR5714916	SRR5714917	SRR5714918	SRR5714919	SRR5714920	SRR5714921
clean	30376361	27600415	23643594	27768610	28424120	28554005	13668565	11947765	20490319	14466230	8184364	5658080	10783325	13601575	15712230	13879844	11935748	14381868	14341779	14448545	17937828	13457669	12936260	28199123	24544544	24801120	27194835	19238718	18318773	20574440	20465292	22672327	13915781	22337896	20698126	20933960	20026542	18681656	22769442	24072004	27307493	27804379	31768122	29333101	30821068	31033547	27195696	36124371	27988106	32372918	15337464	16318254	23907148	22619970	15610399	16331782	17229174	22610849	14594183	14769804	11693258	15833424	13733853	15696703	14616332	15863327	15644340	13696831	15930419	17289699	16615189	21746641	21857039	19866068	9468998	10574578	14250349	20275422	19996680	28876104	25443540	29945449	29415240	33315294	55662700
genome	17638693	13156991	14079771	15064800	14377700	7938986	11451015	8859934	16809491	10425439	6495331	3895657	9086582	11641161	13569570	11743246	9289783	11499192	11130231	10298975	16075568	10055370	9581926	25730415	18070684	18835670	19895914	17009710	13146204	16179075	17463083	20041674	10262066	20201009	17829622	16761630	14657585	12768653	17747649	19998785	22994801	24771169	15521124	18417668	27681219	20884372	17620563	31927852	17890294	21595077	11506986	12966281	16971285	17016955	11721910	12972786	15134062	18874949	12491548	13135608	8888333	10241183	9884383	11145731	11892528	10809406	12396153	10646119	12676212	14402928	13195719	16059680	16549545	14108738	7389930	7338609	11985882	17119134	11636272	27020293	21611820	20553767	13451639	12331986	17335668
rRNA	7016189	5906616	3320196	3937839	6285188	2756053	1368942	1646469	1805197	2615407	1078563	497653	789796	978541	899977	1303880	1114488	1246916	1361282	2026503	370461	559722	2043812	374666	1127032	2296500	4177808	426175	1823559	980122	625429	1054491	2478683	637991	867051	1341856	2412500	2656269	1953230	1586157	1632991	1090983	3774913	5419539	628043	6601493	5330470	1759770	6040163	6036890	1876791	1532483	2829294	2543399	1645499	1159935	990833	2160448	1169080	807918	1140296	3473541	1901411	1526222	1074066	1104912	908457	898084	1857144	1306402	1406820	609928	440522	323139	102889	132350	423032	323494	274666	487478	1505308	7550462	1247843	862828	3340683
genome_rmdup	2254355	1305307	2742482	1786331	3453166	1224323	6152313	4365083	9170387	5378155	4000468	1883517	3984756	6631165	5451618	6993486	3592330	5324355	3509425	2959115	4809775	2126495	3081709	11048116	3972471	5025383	4376059	6191293	4379776	2969153	4519781	5208024	3109768	4908740	4553230	7483027	3286971	2865043	3645460	6599109	4917007	8372526	2134321	4002462	8268716	4483678	3416252	11524865	2980977	3896217	3958395	4583310	4199446	5151508	3746808	5089615	5539669	6483441	4460062	4879370	2568279	3417784	3593345	3932195	5293325	3772557	4361677	4299282	4834020	6132244	5994711	2952829	3888141	3843785	2710258	2383228	3158965	3773725	3227332	10265100	3506145	3069286	3677078	4983123	11675086
rRNA_rmdup	1621514	1652614	1104103	1196565	2019407	1046360	614197	578508	670607	1025526	556146	309399	443114	479240	369597	605055	390444	607168	728527	953815	232388	300684	933802	215068	443355	813427	1487357	225969	883173	455155	352233	562738	1066542	339820	438752	672436	991008	1034657	741376	744444	731164	569523	1249129	1812935	378390	1972545	1689126	894194	1804850	1855462	672956	638898	1090546	990985	766222	501134	421924	664001	528671	355553	462717	1025331	685752	633210	509824	500500	345037	400157	549404	497884	618119	320564	269906	189891	77471	95795	238975	206366	175597	304305	682208	2038965	606597	459553	964715
circRNA_rmdup	31968	22745	35871	25596	52166	22342	77150	66856	154296	115316	48972	27758	43202	87668	104078	66312	39622	102580	44622	38820	71769	17851	32910	184562	47900	65369	51138	98437	68389	36819	58154	59059	34009	63396	44458	97661	39444	32156	53374	62378	71177	149715	26579	51095	117063	59458	30266	208101	33511	49132	52649	86489	84479	94598	55696	83150	83734	111990	72683	66064	38301	68654	50792	47682	71209	57097	95089	80543	74384	99918	74636	38365	41154	42713	31895	34044	35625	52572	59433	143816	39004	28590	26934	26452	69563
Y_RNA	159	145	244	204	288	140	944	714	782	648	215	94	369	1135	1951	437	540	327	77	41	170	29	61	551	110	255	97	427	115	67	50	89	45	174	111	276	78	65	85	155	85	321	42	60	229	169	66	602	95	133	377	133	253	281	231	217	297	757	282	269	147	430	156	180	193	139	400	269	603	393	209	47	47	61	66	36	54	62	92	313	94	47	52	174	874
circRNA	23304	16751	26998	19203	40304	16557	59691	51904	121905	94445	38078	23207	37623	63767	90182	53725	31900	85428	39710	34268	67376	16138	29197	173496	40161	53609	44998	89769	57527	29920	50421	51628	28906	55431	36606	84147	33514	27003	45658	53739	60396	138472	21773	43310	105694	51538	25183	192482	28105	42381	43040	72693	68453	77132	43980	69555	72083	92940	63339	58654	32580	58939	43338	41339	60564	48769	82665	68015	63153	86033	63268	33724	36980	38309	28155	30520	31304	47664	54093	130297	34390	24044	23060	22057	41366
lncRNA	42314	27024	54967	34953	66118	27191	148350	95733	186627	103478	88133	42070	96726	170308	130017	123102	81610	95505	68599	57720	93165	41205	56961	297609	82447	107879	82170	160231	83392	57540	88876	96791	61291	96987	95614	139606	67078	55622	71496	136070	93291	194319	45020	75098	183010	84609	64972	289589	56955	74714	80017	91557	86159	95579	75450	92429	110177	136050	92619	98598	53888	74747	69433	82469	98809	76075	96841	87814	96413	115371	112581	62309	71230	77022	57889	50055	61050	83766	69432	219142	63503	54222	71828	117301	282029
mRNA	1516108	790566	1933636	1156211	2342193	741625	3884758	3223074	6571312	4219610	3026581	1589281	2843276	3757320	3761713	6004345	2767209	4474815	2649693	2514882	3654565	1888903	2370568	8244461	3384386	4142382	3392226	4313864	3359772	2429962	3828703	4202813	2534701	3778195	3641269	6199033	2687364	2334897	3129633	5550162	4078517	6462947	1762971	3447833	6398941	3842301	2728309	9054599	2495705	2802197	2924046	3521783	3520218	4522425	2982648	3973955	4053595	4615240	3365733	3642213	1893639	2796173	3040847	3257144	4490755	3276340	3302009	3453538	3775688	5106337	5020318	2474196	3240713	3067949	1966444	1745582	2714190	2903107	2425258	8425370	3158958	2315181	3022580	3397408	6208875
