	log2FoldChange	padj	threshold	-log10(q values)	color	metrics	log2RPKM
SNORD32A|snoRNA	3.91501310421074	1.29264856451026e-08	True	7.888519531762704	#DA706F	30.883657339673356	7.761262786577433
hsa-mir-885|miRNA	3.8490845749461298	7.318399249557609e-10	True	9.135583901606715	#DA706F	35.16363507880059	
AC022929.2|lncRNA	3.24593861809338	1.97941739873617e-10	True	9.703462616680945	#DA706F	31.496844036710115	6.2236182578063906
SNORD33|snoRNA	2.7589942566364996	6.47896021748924e-16	True	15.188494686728225	#DA706F	41.90496960763716	8.889480989871453
hsa-mir-1296|miRNA	-3.34181514018115	1.61997788127699e-11	False	10.79049091515177	#5876B9	36.05982591024134	
chr9_88800140_88800180_-|genomic	-3.44887363268807	5.4910207032825e-10	False	9.260346918828523	#5876B9	31.937766317891903	4.305689031523684
23238|tRNA	-3.6005174257638197	1.73893161826283e-10	False	9.759717495855266	#5876B9	35.14003291435892	6.842968255806424
hsa_piR_009051|piRNA	-3.6850890139085095	7.766446167819291e-17	False	16.10977766366687	#5876B9	59.36596468488747	
hsa-mir-326|miRNA	-3.7289614294680695	3.27597719859427e-11	False	10.484659129670822	#5876B9	39.09688949566276	
hsa-mir-205|miRNA	-3.75563216514828	5.87708162928783e-12	False	11.23083827714283	#5876B9	42.178897475216104	
