	log2FoldChange	padj	threshold	-log10(q values)	color	metrics	log2RPKM
SNORD45C|snoRNA	4.60548085931325	2.7839408923451896e-09	True	8.55533998975143	#DA706F	39.40145456771742	6.207912393164277
SNORD91B|snoRNA	4.52098611115462	1.5520343064215202e-08	True	7.80909868325509	#DA706F	35.3048266876321	3.8687590386386193
SNORD32A|snoRNA	4.37637146831756	5.49539162739197e-09	True	8.260001352275115	#DA706F	36.148834246361275	7.761262786577433
SNORD14C|snoRNA	4.35299930205891	2.97228597868386e-09	True	8.52690940723002	#DA706F	37.11763069839183	7.9460513603609
SNORD41|snoRNA	4.34255047809351	2.7839408923451896e-09	True	8.55533998975143	#DA706F	37.15199576274759	6.927758429042282
SNORD98|snoRNA	4.2869625536687	5.49539162739197e-09	True	8.260001352275115	#DA706F	35.410316490456246	5.504270427170303
SNORD116-15|snoRNA	4.20953564171919	2.97228597868386e-09	True	8.52690940723002	#DA706F	35.89432906344542	4.777910796577934
SNORD116-24|snoRNA	4.14579462410628	1.27143819488476e-09	True	8.895704746202297	#DA706F	36.8797649144422	4.309860361486815
SNORD33|snoRNA	3.1311830980529702	1.00747723659116e-18	True	17.99676475772733	#DA706F	56.35116562903117	8.889480989871453
hsa_piR_009051|piRNA	-3.81027231337923	1.28387944540135e-12	False	11.891475754035836	#5876B9	45.30976083082315	
