sample_id	#Measure	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	Basic Statistics	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
10515058-A	Value	10515058-A.fastq	Conventional base calls	Sanger / Illumina 1.9	46335863	0	150	46	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
12402567-A	Value	12402567-A.fastq	Conventional base calls	Sanger / Illumina 1.9	71090111	0	150	48	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
13515292-A	Value	13515292-A.fastq	Conventional base calls	Sanger / Illumina 1.9	48256702	0	150	50	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
17402567-B	Value	17402567-B.fastq	Conventional base calls	Sanger / Illumina 1.9	59259582	0	150	49	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
249136-B	Value	249136-B.fastq	Conventional base calls	Sanger / Illumina 1.9	75361217	0	150	51	pass	fail	warn	warn	fail	warn	pass	pass	fail	fail	fail
333874-A	Value	333874-A.fastq	Conventional base calls	Sanger / Illumina 1.9	51114668	0	150	55	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	fail
3497470-B	Value	3497470-B.fastq	Conventional base calls	Sanger / Illumina 1.9	71682610	0	150	50	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	fail
385247-A	Value	385247-A.fastq	Conventional base calls	Sanger / Illumina 1.9	39262269	0	150	50	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
385247-B	Value	385247-B.fastq	Conventional base calls	Sanger / Illumina 1.9	58813414	0	150	49	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
423976-B	Value	423976-B.fastq	Conventional base calls	Sanger / Illumina 1.9	38216683	0	150	51	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
482592-A	Value	482592-A.fastq	Conventional base calls	Sanger / Illumina 1.9	54910321	0	150	56	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	fail
486978-A	Value	486978-A.fastq	Conventional base calls	Sanger / Illumina 1.9	66183080	0	150	55	pass	warn	fail	pass	fail	fail	pass	pass	fail	fail	fail
497411-B	Value	497411-B.fastq	Conventional base calls	Sanger / Illumina 1.9	70911180	0	150	49	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	fail
497497-B	Value	497497-B.fastq	Conventional base calls	Sanger / Illumina 1.9	34239617	0	150	51	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
498127-B	Value	498127-B.fastq	Conventional base calls	Sanger / Illumina 1.9	73816382	0	150	47	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
498187-A	Value	498187-A.fastq	Conventional base calls	Sanger / Illumina 1.9	49992625	0	150	48	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
498187-B	Value	498187-B.fastq	Conventional base calls	Sanger / Illumina 1.9	66448520	0	150	46	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
498191-A	Value	498191-A.fastq	Conventional base calls	Sanger / Illumina 1.9	43227624	0	150	47	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
498221-A	Value	498221-A.fastq	Conventional base calls	Sanger / Illumina 1.9	88868931	0	150	44	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
