reads_type	17402567-B	249136-B	3497470-B	385247-B	423976-B	497411-B	497497-B	498127-B	498187-B	498221-B	507450-B	507468-B	507511-B	507599-B	507867-B	507887-B	507909-B	508877-B	508897-B	511030-B	511485-B	515058-B	515292-B	5474594-B	6474170-B	8397116-B	CXD	LY	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Normal-6	Normal-7	Normal-8	SH325716-B	SH327409-B	SH327412-B	SH327428-B	mix1_combined_R1	mix2_combined_R1	mix3_combined_R1
Y_RNA.mapped	8076876	7300522	5143336	13548475	12801587	9729864	7295329	20641518	10702704	3618553	14746296	14496105	11898263	18560401	22518505	18962723	21538687	11580231	11833718	5090171	17088989	14904101	19027957	26478745	16874630	9813792	6177471	5228212	26054956	27552902	23750100	25930644	23721300	31837270	26223899	8311694	18551412	22378230	27639650	23840346	37952744	37803411	28777465
Y_RNA.unmapped	12208085	24420270	18293227	11728597	12256063	11234524	3976692	11770915	12459379	5996538	4099142	13329541	10452932	5648405	10197596	6488848	9821631	5456805	11026002	20982454	4057316	8361636	7073734	5471142	3791977	11841895	4415959	10855305	2727465	2571935	4327607	7404695	3478106	5092939	3892760	11629878	6258155	3877374	4563211	5535548	3494515	8852088	4243051
circRNA.mapped	1257	3372	1165	5381	2400	2442	603	4480	4269	2243	1379	3479	3852	2080	3196	2185	67550	2780	1003	1019	1324	1485	1065	1169	1013	892	1150	2420	2598	2125	2722	2409	5253	5382	3713	1575	4406	2895	2899	2773	3575	4392	6323
circRNA.unmapped	9750379	15769904	15612774	6956932	10890800	8900325	2567371	6192085	6707972	4173896	2672618	9535679	3097947	3478221	3327696	3443750	5832837	3155899	5967983	19552602	3073987	6394689	2339639	3461522	2140901	10351784	3562277	9843019	1881607	1491347	3347097	6258378	2144614	3685220	2091153	9839873	2951792	2566111	2941113	2335991	2199032	7323369	2796076
clean.unmapped	46835404	57168113	48175978	52375605	35185990	65799573	28680540	69602372	59455981	18378755	39483825	53858128	44471269	39353931	56595190	37334374	43571015	37578001	38332334	43859280	35491220	46944302	42535020	48438964	31053256	58869385	25214630	30882601	43887857	44065767	45158346	53337422	42212744	56640920	50197073	61715595	50360176	45661846	49224785	49304362	62858663	75113810	51856447
enhancer.mapped	343253	825333	423164	471177	149419	324591	159272	763641	610571	285355	148972	395887	631897	243697	714971	277411	477512	233372	507823	171018	103021	245592	488825	156229	178730	206862	98787	119523	87995	105497	108034	119192	117070	144910	152707	264083	325429	161368	125530	321363	120633	157976	130918
intron.mapped	63319	27130	85266	39758	35896	61501	24849	168524	51205	58015	26383	41384	34412	38249	23854	16951	33381	24847	16220	29164	21489	36924	15718	16294	26137	32808	12845	16017	11690	10843	13317	13902	14227	18933	14955	47192	27374	22520	15848	22837	16606	21038	18693
lncRNA.mapped	136753	84373	165582	92383	49688	153809	73183	279937	130862	81007	63828	104897	80627	81349	67737	44524	101189	67861	44320	71753	36014	100307	38200	35357	42322	90360	39742	46565	24138	21229	30378	38332	28531	42275	35397	118457	67580	49250	35345	54690	34369	51976	38426
lncRNA.unmapped	11687796	18372628	17881746	8982849	11795976	10738934	3573801	10586393	9115398	5773278	3809506	11474204	5723112	4981899	5763890	4765349	8417468	4245837	7593863	20554874	3747507	7707579	4002422	4355235	3123939	11436461	4101996	10476883	2532157	2187971	4096321	7097356	3066275	4765106	3175843	11303917	4433563	3467921	3889540	3766947	3119547	8488839	3848827
mRNA.mapped	77276	118451	71252	103906	98712	89206	49086	206852	111066	51786	48620	109340	112331	79850	118964	66662	465472	55286	57280	48445	75692	63487	40494	35102	33007	52970	36538	48511	33029	33783	39198	42706	50170	71802	48793	68070	69934	39836	47637	53428	73798	81000	105297
mRNA.unmapped	11610520	18254177	17810494	8878943	11697264	10649728	3524715	10379541	9004332	5721492	3760886	11364864	5610781	4902049	5644926	4698687	7951996	4190551	7536583	20506429	3671815	7644092	3961928	4320133	3090932	11383491	4065458	10428372	2499128	2154188	4057123	7054650	3016105	4693304	3127050	11235847	4363629	3428085	3841903	3713519	3045749	8407839	3743530
miRNA.mapped	24813195	19028877	23274518	21772376	8097308	42333821	16869685	33473505	30241686	7976758	18991202	20808644	14350391	12802769	17254834	8496418	8359932	17565535	11801923	16684355	13012149	21367942	14007293	14754472	8924571	35517505	12504615	12148842	14558927	12991060	16248081	18963669	13839709	18614681	18217422	38556783	22593469	16889973	14430294	16989424	20434722	27118351	17649260
miRNA.unmapped	20511307	32219302	23572865	25633222	25221482	21164120	11328961	32756546	23530756	9646774	18988577	28257620	23399974	24414807	33496208	25846557	32023521	17355362	23350480	26230264	21253967	24016555	27352692	32548499	20935191	21977544	10667092	16162434	28884580	30347910	28272689	33564625	27339003	37057495	30439739	20080750	25373307	26384293	32999855	30208647	41677505	46978436	33171864
other.mapped	1809422	2448357	2132967	1864576	780843	1707522	934780	4120683	2259124	1517670	1072445	1774725	2487407	1389437	2295656	1235471	2001731	1016278	1552813	917909	583229	1216888	1610176	846400	936326	994863	487015	553540	608202	656670	695973	779444	859497	990886	1023611	1344761	1386986	844775	882081	1358808	834634	1059684	930821
other.unmapped	9751636	15773276	15613939	6962313	10893200	8902767	2567974	6196565	6712241	4176139	2673997	9539158	3101799	3480301	3330892	3445935	5900387	3158679	5968986	19553621	3075311	6396174	2340704	3462691	2141914	10352676	3563427	9845439	1884205	1493472	3349819	6260787	2149867	3690602	2094866	9841448	2956198	2569006	2944012	2338764	2202607	7327761	2802399
piRNA.mapped	226346	498510	136302	356150	163832	199732	56940	344113	368673	31683	143139	431974	1048779	206001	780107	394986	663203	318326	490760	157639	107662	750818	1251001	598612	268584	321857	73662	78917	102159	223073	194982	229286	139597	127286	323080	139178	563740	128689	796994	832753	230246	322937	151348
piRNA.unmapped	20284961	31720792	23436563	25277072	25057650	20964388	11272021	32412433	23162083	9615091	18845438	27825646	22351195	24208806	32716101	25451571	31360318	17037036	22859720	26072625	21146305	23265737	26101691	31949887	20666607	21655687	10593430	16083517	28782421	30124837	28077707	33335339	27199406	36930209	30116659	19941572	24809567	26255604	32202861	29375894	41447259	46655499	33020516
promoter.mapped	211316	83902	128635	128906	50952	142994	155705	326036	131060	113550	218887	204559	144428	165730	116185	145384	160272	85761	71422	95174	55237	169546	124470	122637	68942	88800	48386	34289	86919	70833	104410	185056	83921	97735	82858	105764	102735	114886	148825	118016	113141	212496	97450
rRNA.mapped	1510902	5919934	1328595	4970007	1867200	2301632	481894	3372321	5683539	755223	1504046	4791864	6720904	2136355	5844148	2991399	3187562	2657104	3179931	944661	1225104	1559805	1175035	1135993	1193494	1374336	2042923	2571325	444350	726797	637576	809128	1034032	968744	1539912	3078062	2393400	2387580	1794636	2106291	746436	1017023	1035323
rRNA.unmapped	45324502	51248179	46847383	47405598	33318790	63497941	28198646	66230051	53772442	17623532	37979779	49066264	37750365	37217576	50751042	34342975	40383453	34920897	35152403	42914619	34266116	45384497	41359985	47302971	29859762	57495049	23171707	28311276	43443507	43338970	44520770	52528294	41178712	55672176	48657161	58637533	47966776	43274266	47430149	47198071	62112227	74096787	50821124
repeats.mapped	585035	247448	598917	397094	209249	557245	402245	1270992	471963	498017	584722	572996	473552	531685	357887	400185	374387	282042	230519	279147	197553	417079	256604	321766	274534	303378	163118	140750	258097	234650	298496	405560	270130	345696	298479	408781	339152	339901	404165	329038	332845	508433	319743
snRNA.mapped	26195	100160	19771	71353	13758	36633	208155	43492	66781	58684	42794	57169	74111	33216	60860	43239	31851	28471	24645	14550	8021	18374	37188	24434	15710	12888	12138	10907	5901	5541	5560	11172	9587	8387	13704	17946	39987	16588	10859	20290	8518	12310	10200
