baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-let-7a-1|miRNA|hsa-let-7a-1|hsa-let-7a-1|hsa-let-7a-1|0|80	133081.097864856	0.136790699728917	0.217957358303104	0.627603035721729	0.530264019543459	0.592610976710683
hsa-let-7a-2|miRNA|hsa-let-7a-2|hsa-let-7a-2|hsa-let-7a-2|0|72	126862.320279369	0.166097098495059	0.224366778401241	0.740292746005489	0.459122381569265	0.528247356373815
hsa-let-7a-3|miRNA|hsa-let-7a-3|hsa-let-7a-3|hsa-let-7a-3|0|74	131190.579675931	0.145283328555144	0.219072123614124	0.663175789590864	0.50721797525235	0.574358742132926
hsa-let-7b|miRNA|hsa-let-7b|hsa-let-7b|hsa-let-7b|0|83	341492.638118542	-0.444554739945456	0.403009978212689	-1.10308618639423	0.269989739029347	0.348505273561887
hsa-let-7c|miRNA|hsa-let-7c|hsa-let-7c|hsa-let-7c|0|84	18898.5322140021	0.278362539872102	0.267758343428656	1.03960360789382	0.298524100020361	0.374548237492213
hsa-let-7d|miRNA|hsa-let-7d|hsa-let-7d|hsa-let-7d|0|87	121568.193457014	-0.244760855797405	0.176109420885106	-1.38982261464074	0.164582749118407	0.228088905626541
hsa-let-7e|miRNA|hsa-let-7e|hsa-let-7e|hsa-let-7e|0|79	5749.0968898128	-0.62492105392052	0.265255778456498	-2.3559187194974	0.0184769601128101	0.0336953865623145
hsa-let-7f-1|miRNA|hsa-let-7f-1|hsa-let-7f-1|hsa-let-7f-1|0|87	227439.256395023	-0.325765571610221	0.240411224931307	-1.35503478135558	0.17540647578367	0.241312125310575
hsa-let-7f-2|miRNA|hsa-let-7f-2|hsa-let-7f-2|hsa-let-7f-2|0|83	275191.570424808	-0.273902903467853	0.23319846258771	-1.17454849585397	0.240175399127735	0.317422823847189
hsa-let-7g|miRNA|hsa-let-7g|hsa-let-7g|hsa-let-7g|0|84	452513.29819959	-0.849603849978144	0.19604559913361	-4.33370528965109	1.4662042664028e-05	5.36847554352154e-05
hsa-let-7i|miRNA|hsa-let-7i|hsa-let-7i|hsa-let-7i|0|84	781719.019837212	-0.489746923148047	0.184053820023411	-2.66088974999678	0.0077934471203973	0.0156034760431784
hsa-mir-1-1|miRNA|hsa-mir-1-1|hsa-mir-1-1|hsa-mir-1-1|0|71	4447.96771019678	-1.47873036017563	0.442386848709074	-3.3426182638356	0.000829919823962408	0.00192897954942365
hsa-mir-1-2|miRNA|hsa-mir-1-2|hsa-mir-1-2|hsa-mir-1-2|0|85	5646.70108387751	-1.45429806251443	0.447382515592509	-3.25068149028661	0.00115128759228472	0.00257018032525859
hsa-mir-100|miRNA|hsa-mir-100|hsa-mir-100|hsa-mir-100|0|80	13030.4526083471	1.35999549446779	0.412820708213542	3.29439746458721	0.000986329220725738	0.00224187390507951
hsa-mir-101-1|miRNA|hsa-mir-101-1|hsa-mir-101-1|hsa-mir-101-1|0|75	82778.8853197745	-0.530888289148168	0.280583074748217	-1.89208949835825	0.0584790572929704	0.092485366239807
hsa-mir-101-2|miRNA|hsa-mir-101-2|hsa-mir-101-2|hsa-mir-101-2|0|79	74346.6538404589	-0.527415123798271	0.282677514747994	-1.86578378640572	0.0620716216363354	0.0971870149081391
hsa-mir-10395|miRNA|hsa-mir-10395|hsa-mir-10395|hsa-mir-10395|0|64	2298.59160412664	3.60452309806658	0.625153748239768	5.76581858177409	8.12624378915937e-09	1.092399343657e-07
hsa-mir-10399|miRNA|hsa-mir-10399|hsa-mir-10399|hsa-mir-10399|0|58	832.517982421483	-0.833837012166493	0.150474990386173	-5.54136611025239	3.00121001808716e-08	3.03670820109679e-07
hsa-mir-103a-1|miRNA|hsa-mir-103a-1|hsa-mir-103a-1|hsa-mir-103a-1|0|78	36188.2833966347	-0.709230725215627	0.204208149190049	-3.47307748504969	0.000514526786225845	0.00125108451121065
hsa-mir-103a-2|miRNA|hsa-mir-103a-2|hsa-mir-103a-2|hsa-mir-103a-2|0|78	37858.21642502	-0.715060879278752	0.205213958143227	-3.48446511995875	0.00049312173070417	0.00121156017909301
hsa-mir-10527|miRNA|hsa-mir-10527|hsa-mir-10527|hsa-mir-10527|0|65	346.187138250702	-0.860127987194586	0.245052915977059	-3.50996838280883	0.000448159979810576	0.00111565751587765
hsa-mir-106a|miRNA|hsa-mir-106a|hsa-mir-106a|hsa-mir-106a|0|81	2556.10331260651	-0.544007396651094	0.404139465424475	-1.34608827692617	0.178274048885377	0.244542099127025
hsa-mir-106b|miRNA|hsa-mir-106b|hsa-mir-106b|hsa-mir-106b|0|82	35817.8916282783	-0.64630849828395	0.263979217672715	-2.44833098598411	0.0143519746542317	0.0266374914193926
hsa-mir-107|miRNA|hsa-mir-107|hsa-mir-107|hsa-mir-107|0|81	12434.6642675847	-0.367671215166331	0.291534562664796	-1.26115823731362	0.20725184184724	0.279004267780047
hsa-mir-10a|miRNA|hsa-mir-10a|hsa-mir-10a|hsa-mir-10a|0|110	34192.5570450382	-0.478909945914233	0.396847366969106	-1.20678625027016	0.227514472607526	0.301536786934763
hsa-mir-10b|miRNA|hsa-mir-10b|hsa-mir-10b|hsa-mir-10b|0|110	44377.4033664033	-0.371086360786232	0.522331698081768	-0.710441970397402	0.477430104252001	0.545883023209154
hsa-mir-11400|miRNA|hsa-mir-11400|hsa-mir-11400|hsa-mir-11400|0|77	1834.67566609496	-1.02870562145916	0.338707378962011	-3.03715149227539	0.00238825394889394	0.00509602486600724
hsa-mir-1180|miRNA|hsa-mir-1180|hsa-mir-1180|hsa-mir-1180|0|69	2463.4194532931	0.385897099562242	0.455276688495553	0.847610056287807	0.396655171986568	0.4665656460492
hsa-mir-1185-1|miRNA|hsa-mir-1185-1|hsa-mir-1185-1|hsa-mir-1185-1|0|86	437.80729213969	-1.5484233214289	0.388550759852223	-3.98512493455889	6.7444630638441e-05	0.000195880856267818
hsa-mir-12136|miRNA|hsa-mir-12136|hsa-mir-12136|hsa-mir-12136|0|71	1468.90808924465	-2.36933699857415	0.392992012725967	-6.02896985651025	1.65008057757659e-09	3.16882821122362e-08
hsa-mir-122|miRNA|hsa-mir-122|hsa-mir-122|hsa-mir-122|0|85	1192699.17395713	1.71723094591228	0.649728382511345	2.64299820068626	0.00821754719811811	0.0164176473745842
hsa-mir-1246|miRNA|hsa-mir-1246|hsa-mir-1246|hsa-mir-1246|0|73	3485.92401952854	2.79829745387377	0.525323145809616	5.32681165144761	9.99517133420732e-08	7.77310431858602e-07
hsa-mir-1250|miRNA|hsa-mir-1250|hsa-mir-1250|hsa-mir-1250|0|113	271.219978836675	-2.3537925288958	0.35391598625204	-6.65070983038203	2.91682834407408e-11	1.19336324859726e-09
hsa-mir-125a|miRNA|hsa-mir-125a|hsa-mir-125a|hsa-mir-125a|0|86	11758.4384234599	0.195190617923845	0.299920933694381	0.650806916074567	0.515171135156653	0.581266232832627
hsa-mir-125b-1|miRNA|hsa-mir-125b-1|hsa-mir-125b-1|hsa-mir-125b-1|0|88	2715.48269533013	1.24381367395471	0.372643908708741	3.33780760905145	0.000844421956274297	0.00195233675885532
hsa-mir-125b-2|miRNA|hsa-mir-125b-2|hsa-mir-125b-2|hsa-mir-125b-2|0|89	2952.74779406844	1.25117161601423	0.373134935934303	3.3531344709961	0.000799018764032817	0.00186569890063246
hsa-mir-126|miRNA|hsa-mir-126|hsa-mir-126|hsa-mir-126|0|85	465674.727463881	-1.02684904745516	0.229846531105529	-4.46754207042484	7.91234541950952e-06	3.0639987817936e-05
hsa-mir-1260b|miRNA|hsa-mir-1260b|hsa-mir-1260b|hsa-mir-1260b|0|89	458.685466984986	-1.29523622511442	0.383353753272968	-3.37869712779919	0.000728301967221011	0.00171442594833875
hsa-mir-127|miRNA|hsa-mir-127|hsa-mir-127|hsa-mir-127|0|97	7617.31747610501	-0.282232146661973	0.374223563797598	-0.754180586059035	0.450740793348899	0.521065216881221
hsa-mir-1273h|miRNA|hsa-mir-1273h|hsa-mir-1273h|hsa-mir-1273h|0|116	980.417143871011	-0.769779605079321	0.251946964906025	-3.0553239860081	0.0022481751961291	0.00481898145685076
hsa-mir-1277|miRNA|hsa-mir-1277|hsa-mir-1277|hsa-mir-1277|0|78	1645.438840748	-1.92983503499167	0.308979926373715	-6.24582657404583	4.21564724290971e-10	1.1334068730223e-08
hsa-mir-1278|miRNA|hsa-mir-1278|hsa-mir-1278|hsa-mir-1278|0|81	286.337709498148	-0.0919182566913529	0.250632082016523	-0.366745773134076	0.713808659955885	0.762422189578306
hsa-mir-128-1|miRNA|hsa-mir-128-1|hsa-mir-128-1|hsa-mir-128-1|0|82	34011.2844704491	-0.128743008124701	0.226829817870309	-0.567575327324515	0.570323364337969	0.629899396528203
hsa-mir-128-2|miRNA|hsa-mir-128-2|hsa-mir-128-2|hsa-mir-128-2|0|84	25054.7426669491	-0.055463870756536	0.249649635652006	-0.222166840386856	0.824184006608927	0.856665179230011
hsa-mir-1285-1|miRNA|hsa-mir-1285-1|hsa-mir-1285-1|hsa-mir-1285-1|0|84	495.590644443758	-0.158874020120381	0.250388970828481	-0.634508858735679	0.525748787325535	0.590688208291172
hsa-mir-1285-2|miRNA|hsa-mir-1285-2|hsa-mir-1285-2|hsa-mir-1285-2|0|88	378.842143148299	-0.0172670414736734	0.277948637563796	-0.0621231376595979	0.95046477139455	0.957588169038835
hsa-mir-1287|miRNA|hsa-mir-1287|hsa-mir-1287|hsa-mir-1287|0|90	323.439950660756	-1.04084591569245	0.22149186726696	-4.69925116680667	2.61117158758031e-06	1.23472988136335e-05
hsa-mir-1290|miRNA|hsa-mir-1290|hsa-mir-1290|hsa-mir-1290|0|78	489.452788373145	1.7706762201139	0.422701920467541	4.18894765880267	2.80251023730105e-05	9.15681296284823e-05
hsa-mir-1294|miRNA|hsa-mir-1294|hsa-mir-1294|hsa-mir-1294|0|142	375.078745236717	0.247849370488295	0.359752322375224	0.688944462823472	0.490858217616401	0.559198042102946
hsa-mir-1296|miRNA|hsa-mir-1296|hsa-mir-1296|hsa-mir-1296|0|92	304.69915436276	-3.34181514018115	0.447923702408382	-7.46067940190034	8.60774644674277e-14	1.61997788127699e-11
hsa-mir-1301|miRNA|hsa-mir-1301|hsa-mir-1301|hsa-mir-1301|0|82	3435.81375902507	-0.699756699835689	0.23316420364275	-3.001132630581	0.00268977380823306	0.00567560163967863
hsa-mir-1303|miRNA|hsa-mir-1303|hsa-mir-1303|hsa-mir-1303|0|86	299.252982942772	0.40501897445783	0.458914976420617	0.88255776182517	0.377475258226358	0.449437274708682
hsa-mir-1304|miRNA|hsa-mir-1304|hsa-mir-1304|hsa-mir-1304|0|91	634.798192030362	-0.593170500440003	0.228188462875914	-2.59947629675985	0.0093366126270502	0.0181841117119815
hsa-mir-1307|miRNA|hsa-mir-1307|hsa-mir-1307|hsa-mir-1307|0|149	13513.9393979053	-0.481110863418653	0.203125057358432	-2.36854512030827	0.0178582019827891	0.0328214220035245
