baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-let-7a-1|miRNA|hsa-let-7a-1|hsa-let-7a-1|hsa-let-7a-1|0|80	123420.892155762	0.0442113366630061	0.210103438941585	0.210426525552007	0.83333479168909	0.874337411474217
hsa-let-7a-2|miRNA|hsa-let-7a-2|hsa-let-7a-2|hsa-let-7a-2|0|72	117148.124645566	0.0706338075997738	0.214489298703181	0.329311569513404	0.741920200176903	0.8033911488682
hsa-let-7a-3|miRNA|hsa-let-7a-3|hsa-let-7a-3|hsa-let-7a-3|0|74	121608.115064406	0.0538278534559544	0.210923595691192	0.255200719860487	0.798568075105306	0.845532681309944
hsa-let-7b|miRNA|hsa-let-7b|hsa-let-7b|hsa-let-7b|0|83	338850.031303886	-0.538289948147442	0.47147333827707	-1.14171874514589	0.253570946522826	0.340385535917232
hsa-let-7c|miRNA|hsa-let-7c|hsa-let-7c|hsa-let-7c|0|84	17728.7411789474	0.247309961942567	0.306196767343928	0.807683125095774	0.419273020385448	0.509078596364783
hsa-let-7d|miRNA|hsa-let-7d|hsa-let-7d|hsa-let-7d|0|87	117276.148395045	-0.344221690682707	0.169403559868393	-2.03196255704501	0.0421574466563516	0.0736635504045931
hsa-let-7e|miRNA|hsa-let-7e|hsa-let-7e|hsa-let-7e|0|79	5427.18670721754	-0.946009949150104	0.276461440737246	-3.42185133169876	0.000621963118492369	0.00155656195346095
hsa-let-7f-1|miRNA|hsa-let-7f-1|hsa-let-7f-1|hsa-let-7f-1|0|87	220268.877828095	-0.444298912354388	0.222366097096233	-1.99805149326388	0.0457110777924705	0.0793618527725364
hsa-let-7f-2|miRNA|hsa-let-7f-2|hsa-let-7f-2|hsa-let-7f-2|0|83	263565.453113479	-0.40766711071374	0.213129016174279	-1.9127715129149	0.0557773095548804	0.0940617352887858
hsa-let-7g|miRNA|hsa-let-7g|hsa-let-7g|hsa-let-7g|0|84	486757.882774844	-0.826776375548842	0.171031707385155	-4.8340532184888	1.33780796853868e-06	6.55665259580674e-06
hsa-let-7i|miRNA|hsa-let-7i|hsa-let-7i|hsa-let-7i|0|84	772869.685792865	-0.615612095125063	0.180813293964986	-3.40468381292956	0.000662407029631901	0.00165338200234382
hsa-mir-1-1|miRNA|hsa-mir-1-1|hsa-mir-1-1|hsa-mir-1-1|0|71	5188.56354394819	-1.3831174543154	0.503244591416673	-2.7484000382832	0.0059886892710041	0.0124400808035648
hsa-mir-1-2|miRNA|hsa-mir-1-2|hsa-mir-1-2|hsa-mir-1-2|0|85	6589.40673539453	-1.34592014343407	0.50593436455415	-2.66026630671777	0.00780788894975669	0.0155992006405967
hsa-mir-100|miRNA|hsa-mir-100|hsa-mir-100|hsa-mir-100|0|80	14275.2344754135	1.75840087353038	0.478751141333935	3.67289124080411	0.000239821571415404	0.000656023542738069
hsa-mir-101-1|miRNA|hsa-mir-101-1|hsa-mir-101-1|hsa-mir-101-1|0|75	90787.8453983886	-0.355273797914476	0.305746502811606	-1.16198810010065	0.245240298687174	0.33204477851026
hsa-mir-101-2|miRNA|hsa-mir-101-2|hsa-mir-101-2|hsa-mir-101-2|0|79	81535.4738095276	-0.350835181175697	0.30651102052358	-1.14460870143071	0.252371286166118	0.339259114689024
hsa-mir-10395|miRNA|hsa-mir-10395|hsa-mir-10395|hsa-mir-10395|0|64	2478.49005616635	4.06114593474626	0.654521142111865	6.2047589809592	5.478079221265e-10	1.61089767100324e-08
hsa-mir-10399|miRNA|hsa-mir-10399|hsa-mir-10399|hsa-mir-10399|0|58	879.306341816442	-0.869903815288943	0.174125156265656	-4.9958537522388	5.8576040423286e-07	3.28095559751858e-06
